name,college_name,university,education_system,weitz_cec_part
Marketing & Entrepreneurship,College of Business Administration (CBA),University of Nebraska Omaha,Nebraska Edu,No
"Art and Art History, Department of","College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
Communication Studies,"College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
"Fine Arts, Department of","College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
Journalism,"College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
"Music, School of","College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
Theater,"College of Communication, Fine Arts, and Media (CFAM)",University of Nebraska Omaha,Nebraska Edu,No
Educational Leadership,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
Health and Physical Education,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
NSSLHA,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
School of Health and Kinesiology,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
Special Education Comm Disorders,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
"Special Education, Department of",College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
Student Council for Exceptional Children (SCEC),College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
Teacher Education Department,College of Education (COE),University of Nebraska Omaha,Nebraska Edu,No
Electrical & Computer Engineering,College of Engineering,University of Nebraska Omaha,Nebraska Edu,No
Engineering,College of Engineering,University of Nebraska Omaha,Nebraska Edu,No
Computer Science,College of Information Science & Technology (IS&T),University of Nebraska Omaha,Nebraska Edu,No
Information Systems,College of Information Science & Technology (IS&T),University of Nebraska Omaha,Nebraska Edu,No
ISQA,College of Information Science & Technology (IS&T),University of Nebraska Omaha,Nebraska Edu,No
Center for Public Affairs Research (CPAR),College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
"Criminology and Criminal Justice, School of",College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
"Gerontology, Department of",College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
Goodrich,College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
"Public Administration, School of",College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
"Social Work, School of",College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,No
Support and Training for the Evaluation of Programs (STEPs),College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,Yes
Tribal Management and Emergency Services (TMES),College of Public Affairs and Community Service (CPACS),University of Nebraska Omaha,Nebraska Edu,Yes
Center for Urban Sustainability,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
Housing & Residence Life,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
Maverick Food Pantry,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
"Multicultural Affairs, Office Of",Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
Office of Civic and Social Responsibility (CSR),Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
"Sustainability, Office of",Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
University Housing,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
Summer Scholars,N/A,University of Nebraska Omaha,Nebraska Edu,No
YSEALI,N/A,University of Nebraska Omaha,Nebraska Edu,No
Chinese Student Scholars Association,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Community Science Table,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Fraternity & Sorority Life,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Karen Student Association,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Lambda Theta Nu,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Lambda Theta Nu & Spanish Club,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Multicultural Greek Council,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Nebraska Watershed Network,Student Org,University of Nebraska Omaha,Nebraska Edu,Yes
Sigma Lambda Beta,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Social Media Lab,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Spanish Club,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Student Veterans Organization,Student Org,University of Nebraska Omaha,Nebraska Edu,No
Theta Chi,Student Org,University of Nebraska Omaha,Nebraska Edu,No
