name,address_line1,city,state,zip,website_url,weitz_cec_part,community_type,k12_level,mission_area,mission_type,community_partner
Arts for All,4411 S 24th St,Omaha,NE,68107,www.artsforallomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Arts for All
Autism Society of NE,9012 Q St.,Omaha,NE,68127,autismcenterfornebraska.org,No,Nonprofit,N/A,Health and Wellness,Primary,Autism Society of NE
Avenue Scholars Foundation,7101 Mercy Rd Ste 240,Omaha,NE,68106,http://www.avescholars.org/,No,Nonprofit,N/A,Educational Support,Primary,Avenue Scholars Foundation
Bard College,30 Campus Rd,Annandale-On-Hudson,NY,12504,http://www.bard.edu/,No,Higher Education Institution,College,Educational Support,Primary,Bard College
Bemis Center for Contemporary Arts,724 S 12th St,Omaha,NE,68102,http://www.bemiscenter.org/,No,Nonprofit,N/A,Educational Support,Primary,Bemis Center for Contemporary Arts
Bennington Elementary School,11620 N 156th St,Bennington,NE,68007,www.benningtonschools.org,No,K-12,Primary,Educational Support,Primary,Bennington Elementary School
Benson Area Refugee Taskforce (BART),5410 Corby Street,Omaha,NE,68104,http://www.bensonrefugeetf.com/,No,Nonprofit,N/A,International Service,Primary,Benson Area Refugee Taskforce (BART)
Benson Plant Rescue,7224 Maple Street,Omaha,NE,68134,https://www.facebook.com/BensonPlantRescue/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Benson Plant Rescue
Bergan Mercy Hospital,7500 Mercy Rd,Omaha,NE,68124,https://www.chihealth.com/en/location-search/creighton-bergan.html,No,Nonprofit,N/A,Health and Wellness,Primary,Bergan Mercy Hospital
Beveridge Magnet Middle School,1616 S 120th St,Omaha,NE,68144,beveridge.ops.org,No,K-12,Primary,Educational Support,Primary,Beveridge Magnet Middle School
"Blue Valley Community Action, Inc",620 5th St,Fairbury,NE,68352,www.bvca.net,No,Nonprofit,N/A,Social Justice,Primary,"Blue Valley Community Action, Inc"
Boys and Girls Club of Council Bluffs,815 N 16th St,Council Bluffs,IA,51501,http://bgcomaha.org/locations/council-bluffs/,No,Nonprofit,N/A,Educational Support,Primary,Boys and Girls Club of Council Bluffs
Boys and Girls Club of the Midlands,2610 Hamilton St,Omaha,NE,68131,http://www.bgcomaha.org/,No,Nonprofit,N/A,Educational Support,Primary,Boys and Girls Club of the Midlands
Boys Town Day School,14124 Norton Dr,Boys Town,NE,68010,,No,K-12,Primary,Educational Support,Primary,Boys Town Day School
Brigit Saint Brigit Theatre Company (BSB),421 S 36th Street,Omaha,NE,68131,https://www.bsbtheatre.com/,No,Nonprofit,N/A,Educational Support,Primary,Brigit Saint Brigit Theatre Company (BSB)
Brownell Talbot,400 N Happy Hollow Blvd,Omaha,NE,68132,,No,K-12,Early Childhood,Educational Support,Primary,Brownell Talbot
Buford Foundation,13303 F St,Omaha,NE,68137,https://campconfidence.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Buford Foundation
Butte Humane Society,2580 Fair St,Chico,CA,95928,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Butte Humane Society
Calvary Omaha,1010 S 144th St,Omaha,NE,68144,,No,Nonprofit,N/A,Educational Support,Primary,Calvary Omaha
Campus Compact for the Great Plains,45 Temple Place,Boston,MA,2111,http://greatplains.compact.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Campus Compact for the Great Plains
Catholic Charities - Phoenix House,300 W Broadway # 2223,Council Bluffs,IA,51503,,No,Nonprofit,N/A,Health and Wellness,Primary,Catholic Charities - Phoenix House
Chabad-Lubavitch of Nebraska Inc.,1866 S 120th Street,Omaha,NE,68144,,No,Nonprofit,N/A,Social Justice,Primary,Chabad-Lubavitch of Nebraska Inc.
Charles Drew Health Center,2915 Grant St,Omaha,NE,68111,,No,Nonprofit,N/A,Health and Wellness,Primary,Charles Drew Health Center
Childrens Scholarship Fund of Omaha,7101 Mercy Rd Ste 305,Omaha,NE,68106,,No,Nonprofit,N/A,Educational Support,Primary,Childrens Scholarship Fund of Omaha
Citizen?s Climate Lobby,1330 Orange Ave # 300,Coronado,CA,92118,https://citizensclimatelobby.org/chapters/NE_Omaha/,No,Nonprofit,N/A,Educational Support,Primary,Citizen?s Climate Lobby
City of Omaha,1819 Farnam Street,Omaha,NE,68183,https://www.cityofomaha.org/,No,Government Agency,N/A,Economic Sufficiency,Primary,City of Omaha
City of Omaha: Mandan Park,6215 South 13th Street,Omaha,NE,68107,http://parks.cityofomaha.org/contact,No,Nonprofit,N/A,Environmental Stewardship,Primary,City of Omaha: Mandan Park
City Sprouts,4002 Seward St,Omaha,NE,68111,omahasprouts.org,No,Nonprofit,N/A,Environmental Stewardship,Primary,City Sprouts
Civic Nebraska,1327 H St Ste. 102,Lincoln,NE,68508,http://nereform.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Civic Nebraska
Claremont School of Theology,1325 N College Ave,Claremont,CA,91711,https://cst.edu/,No,Higher Education Institution,College,Educational Support,Primary,Claremont School of Theology
Clemson University,230 Kappa Street,Clemson,SC,29634,http://www.clemson.edu/,No,Higher Education Institution,College,Educational Support,Primary,Clemson University
Coalition for a Strong Nebraska,"215 Centennial Mall South, Suite 200",Lincoln,NE,68508,,No,Nonprofit,N/A,Social Justice,Primary,Coalition for a Strong Nebraska
Coalition RX,"6400 South, University Drive Road North",Omaha,NE,68182,http://coalitionrx.org/,Yes,Nonprofit,N/A,Health and Wellness,Primary,Coalition RX
College of Saint Mary,7000 Mercy Rd,Omaha,NE,68106,http://www.csm.edu/,No,Higher Education Institution,College,Educational Support,Primary,College of Saint Mary
"Common Seed Soil Library, Omaha Public Library (OPL)",215 S 15th St,Omaha,NE,68102,https://omahalibrary.org/welcome-to-the-common-soil-library/,No,Nonprofit,N/A,Environmental Stewardship,Primary,"Common Seed Soil Library, Omaha Public Library (OPL)"
Common Sense Media: Omaha Public Schools,650 Townsend Suite 435,San Francisco,CA,94103,https://commonsensemedia.org,No,K-12,Secondary,Educational Support,Primary,Common Sense Media: Omaha Public Schools
Community Action of Nebraska,210 O Street No 100,Lincoln,NE,68508,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Community Action of Nebraska
Community Action Partnership of Lancaster and Saunders Counties,210 O St,Lincoln,NE,68508,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Community Action Partnership of Lancaster and Saunders Counties
Community Action Partnership of Western Nebraska: Foster Grandparent Program in Gering,3350 10th St,Gering,NE,69341,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Community Action Partnership of Western Nebraska: Foster Grandparent Program in Gering
Completely Kids,2566 St Marys Ave,Omaha,NE,68105,completelykids.org,No,Nonprofit,N/A,Educational Support,Primary,Completely Kids
Court Appointed Special Advocates in Douglas County,2412 St Marys Ave,Omaha,NE,68105,,No,Nonprofit,N/A,Social Justice,Primary,Court Appointed Special Advocates in Douglas County
Creighton University,2500 California Plaza,Omaha,NE,68178,https://www.creighton.edu/trio/,No,Higher Education Institution,College,Educational Support,Primary,Creighton University
Cultural Enrichment Fund,301 Market St # 5,Harrisburg,PA,17101,https://culturalenrichmentfund.org/,No,Nonprofit,N/A,Educational Support,Primary,Cultural Enrichment Fund
D2 Center,1841 S 42nd St,Omaha,NE,68105,d2center.org,No,Nonprofit,N/A,Educational Support,Primary,D2 Center
Do Space,7205 Dodge St,Omaha,NE,68114,,No,Nonprofit,N/A,Educational Support,Primary,Do Space
DoD - Defense POW/MIA Accounting Agency,1400 Defense Pentagon,Washington,DC,20301-1400,www.defense.gov/Resources/Contact-DoD/source/nav/,No,Nonprofit,N/A,Social Justice,Primary,DoD - Defense POW/MIA Accounting Agency
Douglas County,"1819 Farnam Street, LC2",Omaha,NE,68183,,no,Government Agency,N/A,Economic Sufficiency,Primary,Douglas County
Douglas County Department of Health & Human Services,1111 S 41st St,Omaha,NE,68105,dhhs.ne.gov,No,Government Agency,N/A,Health and Wellness,Primary,Douglas County Department of Health & Human Services
Douglas County Health Department,1101 S 42nd St,Omaha,NE,N/A,https://www.douglascountyhealth.com/,No,Government Agency,N/A,Health and Wellness,Primary,Douglas County Health Department
Douglas County Historial Society,5730 N. 30th Street #11B,Omaha,NE,68111,,No,Government Agency,N/A,Educational Support,Primary,Douglas County Historial Society
Down Syndrome Alliance of the Midlands (DSM),"6400 South, University Drive Road North",Omaha,NE,68182,http://www.dsamidlands.org/,Yes,Nonprofit,N/A,Health and Wellness,Primary,Down Syndrome Alliance of the Midlands (DSM)
Dreamweaver Foundation,13321 California Street,Omaha,NE,68154,,No,Nonprofit,N/A,Health and Wellness,Primary,Dreamweaver Foundation
Dundee Elementary,310 North 51St Street,Omaha,NE,68132-2846,,No,K-12,Primary,Educational Support,Primary,Dundee Elementary
Durham Museum,801 S 10th St,Omaha,NE,68108,durhammuseum.org,No,Nonprofit,N/A,Educational Support,Primary,Durham Museum
Eastern Nebraska 4-H Camp,21520 W Hwy 31,Gretna,NE,68028,,No,Nonprofit,N/A,Educational Support,Primary,Eastern Nebraska 4-H Camp
Eastern Nebraska Community Action Partnership,2406 Fowler Ave,Omaha,NE,68111,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Eastern Nebraska Community Action Partnership
Eastern Nebraska Office on Aging: Foster Grandparent Program in Omaha,4780 S. 131st Street,Omaha,NE,68137,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Eastern Nebraska Office on Aging: Foster Grandparent Program in Omaha
Eastern Nebraska Office on Aging: Ombudsman Advocate Program in Omaha,4780 S. 131st Street,Omaha,NE,68137,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Eastern Nebraska Office on Aging: Ombudsman Advocate Program in Omaha
Eastern Nebraska Office on Aging: Senior Companions Program in Omaha,4780 S. 131st Street,Omaha,NE,68137,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Eastern Nebraska Office on Aging: Senior Companions Program in Omaha
Eastern Nebraska Veterans Home,12505 South 40th Street,Bellevue,NE,68123,https://veterans.nebraska.gov/eastern-nebraska-veterans-home,No,Nonprofit,N/A,Health and Wellness,Primary,Eastern Nebraska Veterans Home
El Museo Latino,4701 S 25th St,Omaha,NE,68107,www.elmuseolatino.org,No,Nonprofit,N/A,International Service,Primary,El Museo Latino
Environmental Finance Center,250 E. Franklin Street,Chapel Hill,NC,27514,https://efc.sog.unc.edu/,No,Nonprofit,N/A,Educational Support,Primary,Environmental Finance Center
Environmental Protection Agency (EPA Region 7),11201 Renner Blvd.,Lenexa,KA,66219,https://www.epa.gov/aboutepa/epa-region-7-midwest,No,Nonprofit,N/A,Environmental Stewardship,Primary,Environmental Protection Agency (EPA Region 7)
Film Streams,1640 Mike Fahey St,Omaha,NE,68102,filmstreams.org,No,Nonprofit,N/A,Educational Support,Primary,Film Streams
First Responders Foundation,809 N 96th Street,Omaha,NE,68114,https://firstrespondersomaha.org/,No,Nonprofit,N/A,Economic Sufficiency,Primary,First Responders Foundation
Fontenelle Elementary School,3905 N 52nd St,Omaha,NE,68104,fontenelle.ops.org,No,K-12,Primary,Educational Support,Primary,Fontenelle Elementary School
Fontenelle Forest,1111 Bellevue Blvd,Bellevue,NE,68005,fontanelleforest.org,No,Nonprofit,N/A,Environmental Stewardship,Primary,Fontenelle Forest
Food Bank for the Heartland,10525 J Street,Omaha,NE,68127,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Food Bank for the Heartland
Foster Grandparents Program,4223 Center St,Omaha,NE,68105,enoa.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Foster Grandparents Program
Frank Stoysich Meats,5170 Q St,Omaha,NE,68117,frankstoysichmeats.com,No,Nonprofit,N/A,Health and Wellness,Primary,Frank Stoysich Meats
George Washington University,"2121 Eye Street, NW",Washington,DC,20052,https://www.gwu.edu/,No,Higher Education Institution,College,Educational Support,Primary,George Washington University
Girl Scouts Spirit of Nebraska,2121 S 44th St,Omaha,NE,68105,http://www.girlscoutsnebraska.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Girl Scouts Spirit of Nebraska
Girls Inc,2811 N 45th Street,Omaha,NE,68104,,No,Nonprofit,N/A,Educational Support,Primary,Girls Inc
"Gotta Be Me, Inc",5108 Pine Street,Omaha,NE,68106,,No,Nonprofit,N/A,Health and Wellness,Primary,"Gotta Be Me, Inc"
Greater Birmingham Humane Society,300 Snow Dr,Birmingham,AL,35209,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Greater Birmingham Humane Society
Greater Omaha Attendance and Learning Services,3215 Cuming St,Omaha,NE,68131,,No,Nonprofit,N/A,Educational Support,Primary,Greater Omaha Attendance and Learning Services
Greater Omaha Chamber of Commerce,1301 Harney St,Omaha,NE,68102,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Greater Omaha Chamber of Commerce
Green Bellevue,4522 Borman Street,Bellevue,NE,68157,https://sites.google.com/a/greenbellevue.org/green-bellevue/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Green Bellevue
Greenwood Humane Society,239 Wilbanks Cir,Greenwood,SC,29649,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Greenwood Humane Society
Grief's Journey,7811 Farnam Dr,Omaha,NE,68114,griefsjourney.org,No,Nonprofit,N/A,Health and Wellness,Primary,Grief's Journey
Habitat for Humanity: Council Bluffs,1228 South Main Street,Council Bluffs,IA,51503,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Habitat for Humanity: Council Bluffs
Habitat for Humanity: Omaha,3931 N. 21st Street,Omaha,NE,68110,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Habitat for Humanity: Omaha
Habitat Omaha ReStore,1701 N 24th St,Omaha,NE,68110,https://www.habitat.org/,No,Nonprofit,N/A,Economic Sufficiency,Primary,Habitat Omaha ReStore
Harvey Oakes Elementary,15228 Shirley St,Omaha,NE,68144,harveyoaks.mps.org,No,Nonprofit,N/A,Educational Support,Primary,Harvey Oakes Elementary
Heart Ministry Center,2222 Binney Street,Omaha,NE,68110,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Heart Ministry Center
Heartland B-cycle,1085 Jackson Street,Omaha,NE,68102,https://heartland.bcycle.com/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Heartland B-cycle
Heartland Equine Therapeutic Riding Academy,10130 S. 222nd Street,Gretna,NE,68028,,No,Nonprofit,N/A,Health and Wellness,Primary,Heartland Equine Therapeutic Riding Academy
Heartland Family Services,2101 S 42nd St,Omaha,NE,68105,heartlandfamilyservices.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Heartland Family Services
Heartland Hope Mission,20210 U St,Omaha,NE,68107,heartlandhopemission.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Heartland Hope Mission
Heartland Workers Center,49235 24th St,Omaha,NE,68107,heartlandworkercenter.org,No,Nonprofit,N/A,Social Justice,Primary,Heartland Workers Center
Henry Doorly Zoo & Aquarium,3701 S 10th Street,Omaha,NE,68107,,No,Nonprofit,N/A,Educational Support,Primary,Henry Doorly Zoo & Aquarium
Heron Haven,11809 Old Maple Rd,Omaha,NE,68164,heronhaven.org,No,Nonprofit,N/A,Environmental Stewardship,Primary,Heron Haven
Hope Center for Kids,2200 North 20th Street,Omaha,NE,68110,,No,Nonprofit,N/A,Educational Support,Primary,Hope Center for Kids
Humane Society of Pinellas,3040 State Road 590,Clearwater,FL,33759,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Humane Society of Pinellas
Humane Society of the Pikes Peak Region,610 Abbot Ln,Colorado Springs,CO,80905,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Humane Society of the Pikes Peak Region
Humane Society of the Pikes Peak Region: Pueblo Animal Services,4600 Eagleridge Pl,Pueblo,CA,81008,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Humane Society of the Pikes Peak Region: Pueblo Animal Services
Humanities Nebraska,"215 Centennial Mall South, Suite 330",Lincoln,NE,68508,http://humanitiesnebraska.org/,No,Nonprofit,N/A,Educational Support,Primary,Humanities Nebraska
Hunger Collaborative,10525 J St.,Omaha,NE,68127,togetheromaha.org,No,Nonprofit,N/A,Health and Wellness,Primary,Hunger Collaborative
Hunger Free Heartland,13911 Gold Cir Ste. 120,Omaha,NE,68144,https://hungerfreeheartland.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Hunger Free Heartland
ICAN,14217 Dayton Cir #5,Omaha,NE,68137,icanglobal.net,No,Nonprofit,N/A,Educational Support,Primary,ICAN
"Imagine, A Center for Coping with Loss",244 Sheffield St,Mountainside,NJ,7092,,No,Nonprofit,N/A,Health and Wellness,Primary,"Imagine, A Center for Coping with Loss"
Immanuel Village Senior Living,6803 N 68th Plaza,Omaha,NE,68152,www.immanuel.com/community/immanuel-village,No,Nonprofit,N/A,Health and Wellness,Primary,Immanuel Village Senior Living
Inclusive Communities (IC),"6400 South, University Drive Road North",Omaha,NE,68182,http://www.inclusive-communities.org/,Yes,Nonprofit,N/A,Social Justice,Primary,Inclusive Communities (IC)
inCOMMON Community Development,1340 Park Avenue,Omaha,NE,68105,,No,Nonprofit,N/A,Economic Sufficiency,Primary,inCOMMON Community Development
Institute for Holocaust Education,333 South 132nd Street,Omaha,NE,68154,http://www.ihene.org/,No,Nonprofit,N/A,Educational Support,Primary,Institute for Holocaust Education
Institute for Public Leaders,3647 Lafayette Ave,Omaha,NE,68131,iplomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Institute for Public Leaders
Intercultural Senior Center,3010 R St.,Omaha,NE,68107,interculturalseniorcenter.org,No,Nonprofit,N/A,International Service,Primary,Intercultural Senior Center
Islamic Center of Omaha,3511 N 73rd Street,Omaha,NE,68134,https://www.icomaha.org/?fbclid=IwAR1P-0sy6cG81omm-_cxK4mu4ZGNCrf58cq1LLLpt4cvlbaXUoJvE4W-nrc,No,Nonprofit,N/A,International Service,Primary,Islamic Center of Omaha
Jacksonville Humane Society,8464 Beach Blvd,Jacksonville,FL,32216,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Jacksonville Humane Society
Jewish Community Center,333 S 132nd ST,Omaha,NE,68154,www.jewishomaha.org/jcc/,No,Nonprofit,N/A,Health and Wellness,Primary,Jewish Community Center
Josie Harper Hospice House,7415 Cedar Street,Omaha,NE,68124,http://www.hospicehouseomaha.org/Site/Welcome.html,No,Nonprofit,N/A,Health and Wellness,Primary,Josie Harper Hospice House
Josie Harper House,7415 Cedar Street,Omaha,NE,68124,http://www.hospicehouseomaha.org/Site/Welcome.html,No,Nonprofit,N/A,Health and Wellness,Primary,Josie Harper House
Joslyn Art Museum,2200 Dodge St,Omaha,NE,68102,joslyn.org,No,Nonprofit,N/A,Educational Support,Primary,Joslyn Art Museum
Junior Achievement of Omaha,13506 W Maple Rd,Omaha,NE,68164,juniorachievement.org,No,Nonprofit,N/A,Educational Support,Primary,Junior Achievement of Omaha
Justice For Our Neighbors (JFON),2414 E St,Omaha,NE,68107,http://jfon-ne.org/,No,Nonprofit,N/A,Social Justice,Primary,Justice For Our Neighbors (JFON)
Kaneko,1111 Jones St,Omaha,NE,68102,thekaneko.org,No,Nonprofit,N/A,Educational Support,Primary,Kaneko
Keep Omaha Beautiful,1819 Farnam St,Omaha,NE,68183,keepomahabeautiful.org,No,Nonprofit,N/A,Environmental Stewardship,Primary,Keep Omaha Beautiful
Kids Can,4860 Q St,Omaha,NE,68117,kidscanomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Kids Can
Kiewit Middle School,1560 Howard St,Omaha,NE,68118,kms.mps.org,No,K-12,Primary,Educational Support,Primary,Kiewit Middle School
La Vista Public Library,9110 Giles Rd,La Vista,NE,68128,cityoflavista.org/library,No,Nonprofit,N/A,Educational Support,Primary,La Vista Public Library
Lauritzen Gardens,100 Bancroft,Omaha,NE,68108,lauritzengardens.org,No,Nonprofit,N/A,Environmental Stewardship,Primary,Lauritzen Gardens
League of Women Voters,115 S 49th Ave,Omaha,NE,68132,https://www.lwv.org/,No,Nonprofit,N/A,Educational Support,Primary,League of Women Voters
Learning Community Center of North Omaha,1612 N 24th St,Omaha,NE,68110,www.learningcommunityds.org,No,Nonprofit,N/A,Educational Support,Primary,Learning Community Center of North Omaha
Learning Community Center of South Omaha,2302 M St,Omaha,NE,68107,learningcommunityds.org,No,Nonprofit,N/A,Educational Support,Primary,Learning Community Center of South Omaha
Legal Aid of Nebraska,209 S 19th St #200,Omaha,NE,68102,legalaideofnebraska.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Legal Aid of Nebraska
Lewis and Clark Middle School,6901 Burt St,Omaha,NE,68132,lewisandclark.ops.org,No,K-12,Primary,Educational Support,Primary,Lewis and Clark Middle School
Literacy Center of the Midlands,324 S 72nd Street,Omaha,NE,68114,,No,Nonprofit,N/A,Educational Support,Primary,Literacy Center of the Midlands
Live Well Omaha,"6400 South, University Drive Road North",Omaha,NE,68182,http://livewellomaha.org/,Yes,Nonprofit,N/A,Health and Wellness,Primary,Live Well Omaha
Los Angeles County Department of Animal Care and Control,5898 Cherry Avenue,Long Beach,CA,90805,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Los Angeles County Department of Animal Care and Control
Love's Jazz and Art Center,"2219, 2510 N 24th Street",Omaha,NE,68110,https://www.facebook.com/lovesjazzandartcenter,No,Nonprofit,N/A,Educational Support,Primary,Love's Jazz and Art Center
Lutheran Family Services,124 S 24th St Ste 100,Omaha,NE,68102,lfsneb.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Lutheran Family Services
MAD DADS,3026 4th Avenue S.,Minneapolis,MN,55408,http://www.maddads.com/,Yes,Nonprofit,N/A,Social Justice,Primary,MAD DADS
Malcolm X Foundation,3448 Evans St,Omaha,NE,68111,malcolmxfoundation.org,No,Nonprofit,N/A,Social Justice,Primary,Malcolm X Foundation
Malcolm X Memorial Foundation,3448 Evans St,Omaha,NE,68111,http://malcolmxfoundation.org/,No,Nonprofit,N/A,Educational Support,Primary,Malcolm X Memorial Foundation
Marconi Institute for Creativity,"Via Celestini, 1",Sasso Marconi BO,Italy,40037,http://mic.fgm.it/,No,Nonprofit,N/A,Educational Support,Primary,Marconi Institute for Creativity
Marquis Place Assisted Living,20800 West Maple Road,Elkhorn,NE,68022,https://www.capitalsenior.com/marquisplaceofelkhorn/,No,Nonprofit,N/A,Health and Wellness,Primary,Marquis Place Assisted Living
Mayor's Commission for Citizens with Disabilities (MCCD),"1819 Farnam Street, Suite 300",Omaha,NE,68183,https://humanrights.cityofomaha.org/disabilities-comm-mccd,No,Nonprofit,N/A,Educational Support,Primary,Mayor's Commission for Citizens with Disabilities (MCCD)
McGill University,845 Sherbrooke Street W,Montreal,Quebec,H3A 0G4,https://www.mcgill.ca/,No,Higher Education Institution,College,Educational Support,Primary,McGill University
McMillan Middle School,3802 Redick Dr,Omaha,NE,68112,mcmillan.ops.org,No,K-12,Primary,Educational Support,Primary,McMillan Middle School
Mercy Housing,7262 Mercy Rd,Omaha,NE,68124,mercyhousing.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Mercy Housing
Metro Area Continuum of Care for the Homeless (MACCH),"6400 South, University Drive Road North",Omaha,NE,68182,http://www.endhomelessnesstoday.org/index.html,Yes,Nonprofit,N/A,Economic Sufficiency,Primary,Metro Area Continuum of Care for the Homeless (MACCH)
Metro Transit Omaha,2222 Cuming Street,Omaha,NE,68102,http://www.ometro.com/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Metro Transit Omaha
Metropolitan Area Planning Agency (MAPA),2222 Cuming St,Omaha,NE,68102,http://mapacog.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Metropolitan Area Planning Agency (MAPA)
Midland University,900 North Clarkson,Fremont,NE,68025,https://www.midlandu.edu/,No,Higher Education Institution,College,Educational Support,Primary,Midland University
Midlands Mentoring Partnership,115 S 49th Ave,Omaha,NE,68132,https://mmpomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Midlands Mentoring Partnership
Midlands Real Estate,11535 S 36th St,Bellevue,NE,68123,https://midlandsrealestate.com,No,Nonprofit,N/A,Economic Sufficiency,Primary,Midlands Real Estate
Millard Public Schools,56065 147th St,Omaha,NE,68137,mpsomaha.org,No,K-12,Primary,Educational Support,Primary,Millard Public Schools
"Mission Zero, Interface",2859 Paces Ferry Rd SE,Atlanta,GA,30339,http://www.interface.com/EU/en-GB/about/index/Mission-Zero-en_GB,No,Nonprofit,N/A,Environmental Stewardship,Primary,"Mission Zero, Interface"
Mode Shift Omaha,"6400 South, University Drive Road North",Omaha,NE,68182,https://modeshiftomaha.org/,Yes,Nonprofit,N/A,Environmental Stewardship,Primary,Mode Shift Omaha
Monson & Holloway Law Office,108 Oak St,Laurel,NE,68745,www.monsonholloway.com,No,Business,N/A,Social Justice,Primary,Monson & Holloway Law Office
Morrissey Housing,4940 N 118th St,Omaha,NE,68164,www.morrisseyengineering.com/contact,No,Nonprofit,N/A,Environmental Stewardship,Primary,Morrissey Housing
Mourning Hope Grief Center,4919 Baldwin Ave,Lincoln,NE,68504,,No,Nonprofit,N/A,Health and Wellness,Primary,Mourning Hope Grief Center
Mozilla Foundation,331 E Evelyn Ave,Mountain View,CA,94041,https://www.mozilla.org/en-US/,No,Nonprofit,N/A,Educational Support,Primary,Mozilla Foundation
National Council for the Social Studies,"8555 16th St, Suite 500",Silver Spring,MD,20910,https://www.socialstudies.org/,No,Nonprofit,N/A,Educational Support,Primary,National Council for the Social Studies
