project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
60 Minutes of Service: 2016-17 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Mayoral Candidate Questions,2016-17,Spring 2017,Spring 2017,28,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),ONE Omaha,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (008),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Storm drain packages, Give-aways for Earth Day Omaha (up-cycled Thank You Postcards, Thaumotropes) ",2016-17,Spring 2017,Spring 2017,40,20,0,0,1,1,0,21 YSEALI students participated,pre-post surveys,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (009),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Tea party prep and survey compiling,2016-17,Fall 2016,Fall 2016,40,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Kaneko,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Packed 72 bags for Special Education classrooms,2016-17,Fall 2016,Fall 2016,46,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),WhyArts? Inc.,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (011),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),17 fidget bottles and 31 fleece pillows made,2016-17,Fall 2016,Fall 2016,31,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Completely Kids,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Mapped out road paths in Omaha,2016-17,Fall 2016,Fall 2016,33,20,0,0,1,2,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Metropolitan Area Planning Agency (MAPA),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (013),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Made crafts (key chains, jewels, journals)",2016-17,Fall 2016,Fall 2016,62,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Girl Scouts Spirit of Nebraska,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Cut out & stamp postcards from recycled cardboard, pack give away for volunteers at Big Youth Fall Clean-up, package storm drain labels",2017-18,Fall 2017,Fall 2017,32,28,0,0,1,2,0,N/A,N/A,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),wrote letters of encouragement to high school seniors & inspirational posters for End of Year Senior Celebration,2017-18,Fall 2017,Fall 2017,22,19,0,0,2,1,0,N/A,N/A,Office of Civic and Social Responsibility (CSR),Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2017-18 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Mini showcase of alternate modes of transportation & present/ discuss ways that students can become involved & advocate in local government,2017-18,Spring 2018,Spring 2018,25,25,0,0,4,3,0,N/A,N/A,University Housing,Metropolitan Area Planning Agency (MAPA),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cut out positive words & pictures to be used in various programs,2017-18,Spring 2018,Spring 2018,10,8,0,0,2,3,0,N/A,N/A,Office of Civic and Social Responsibility (CSR),Grief's Journey,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2017-18 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),placing labels on packets for Baby Reads Program,2017-18,Spring 2018,Spring 2018,12,12,0,0,1,2,0,N/A,N/A,Office of Civic and Social Responsibility (CSR),Omaha Public Library (OPL),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be placing labels on door hangers. The door hangers will be distributed later on to promote a smoke alarm program.,2017-18,Fall 2017,Fall 2017,3,5,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),American Red Cross,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assist with a landscaping project.,2017-18,Fall 2017,Fall 2017,17,85,0,0,0,0,0,N/A,pre-post surveys,Student Veterans Organization,Eastern Nebraska Veterans Home,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be distributing flyers in the Dundee neighborhood.,2017-18,Fall 2017,Fall 2017,8,25,1,6,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),First Responders Foundation,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help with event set up (tables, chairs, signage, ez-up tents, recycle bins, etc.), helping vendors set up booths, etc.",2017-18,Fall 2017,Fall 2017,18,94,1,6,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will complete a deep clean of all of the fire vehichles.,2017-18,Fall 2017,Fall 2017,14,69,0,0,0,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Papillion Fire Department,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assist with a landscaping project.,2017-18,Fall 2017,Fall 2017,2,14,25,138,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Ralston High School,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
9/11 Remembrance Day of Service: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Storm drain labeling and trash pick-up,2016-17,Fall 2016,Fall 2016,44,20,0,0,8,3,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
A Q&A Session with Kathleen Fenton: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Ms. Fenton will be on hand to answer questions about the work of the EPA, sustainability, and careers in the field. ADDITIONAL CAMPUS PARTNERS: UNO Center for Urban Sustainability",2016-17,Spring 2017,Spring 2017,0,0,0,0,40,0,0,N/A,N/A,"Sustainability, Office of",Environmental Protection Agency (EPA Region 7),Environmental Stewardship,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Alzheimers Research Symposium: 2016-17 (001),Knowledge/Info Sharing,Meeting / Gathering,Barbara Weitz Community Engagement Center (CEC),"The UNO Department of Gerontology invites you to learn more about the state of research on Alzheimer's at the Alzheimer's Research Symposium in April. The symposium features James A. Hendrix, Ph.D., who serves as the Director of Global Science Initiatives, Medical, and Scientific Relations for the Alzheimer's Association. His talk focuses on the current state of research on Alzheimer's disease. ADDITONAL COMMUNITY PARTNERS: Catholic Health Initiatives-Lakeside. ADDITIONAL CAMPUS PARTNERS: UCAT",2016-17,Spring 2017,Spring 2017,0,0,0,0,55,0,0,N/A,N/A,"Gerontology, Department of","Alzheimer's Association, Nebraska Chapter",Health and Wellness,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
American Refugees: From the Holocaust to Today: 2016-17 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"Rafael Medoff, Ph.D., is a field expert in the Holocaust, Jewish history, and is the founding director of  The David S. Wyman Institute for Holocaust Studies. The institute focuses on America's response to Nazism and the Holocaust and takes a special interest in using cutting-edge media to teach about the Holocaust, including political cartoons, animation, and educational comic books. ADDITIONAL COMMUNITY PARTNERS: Fried Fund; Institute for Holocaust Education",2016-17,Summer 2017,Summer 2017,0,0,0,0,45,0,0,N/A,N/A,"Spirituality, Public Health, Religious Studies (SPHRS)",Inclusive Communities (IC),Social Justice,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Begin with the End in Mind Lecture Series: 2017-18 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"What if you became too ill to speak for yourself? With legal documentation, known as advance directives, you can avoid confusion and instruct your family, friends, and health care professionals what sort of health care you want to receive and what other decisions you want to be made on your behalf. Discussing the ups and downs of setting up an advance directive can benefit you or a loved one in the future. This is not an age limited discussion--all can benefit from this information. In March, the series hosts Amy Haddad from Creighton University. Begin With the End in Mind discussions are free and open to the public with registration.",2017-18,Spring 2018,Spring 2018,0,0,0,0,50,0,0,N/A,N/A,"Gerontology, Department of",Creighton University,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Begin With the End in Mind Lecture Series: 2017-18 (002),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"The loss of a friend, co-worker, or neighbor can be difficult, especially for those who have come to rely on these people over a lifetime. The loss can be especially difficult as others may not fully appreciate the impact of the loss of a non-family member. The first of three programs for the 2018 Begin With the End in Mind series will discuss Disenfranchised Grief, grief that is not recognized by others. The term, disenfranchised grief was first described by Kenneth Doka and continues to have meaning today as more people live well into their older adult years and face the loss of friends, co-workers and neighbors. Cathy Fox, MSW is the first presenter. She is the Director of Operations for Grief’s Journey (formerly Ted E. Bear Hollow). In her role she is responsible for development, implementation, and management of all Grief’s Journey programs. Her passion for the care and support of grieving families is evident in her work. Like past programming, this session promises to enlighten those who want to learn more about end of life concerns and wishes. Begin With the End in Mind discussions are free and open to the public including all staff and faculty in the UN system.",2017-18,Spring 2018,Spring 2018,0,0,0,0,30,0,0,N/A,N/A,"Gerontology, Department of",Grief's Journey,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Begin With the End in Mind Lecture Series: 2017-18 (003),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"When a person is dying, spiritual concerns often become increasingly important. Questions arise related to life’s purpose and the impact of one’s life on others and the community. People may ask, “why is this happening to me” or “what does it mean to the world that I have lived."" Some people focus on what comes after death. Spirituality is the essence of our inner being and hospice and palliative care consider spiritual care to be among the most important aspects of total care at the end of life. February's speaker is Executive Director of the Josie Harper House, Gary George. ",2017-18,Spring 2018,Spring 2018,0,0,0,0,40,0,0,N/A,N/A,"Gerontology, Department of",Josie Harper House,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Behavior Analysis and Intervention: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Students will be matched with a school psychologist or behavior consultant and a classroom teacher from a school within the greater Omaha. Council Bluffs area. The school consultant will select a school0age student for the PSYC 8576 student to observe throughout the semester. They will practice observation and assessment techniques, view various antecedent and consequence strategies in action, and recommend changes to existing behavior support plans.",2017-18,Fall 2017,Fall 2017,7,25,0,0,0,0,0,N/A,N/A,"Psychology, Department of",Westside School District,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Better Together Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Spring 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Heartland Family Services,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Burke Gardens: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,5,6,8,5,0,0,0,"Students in Steve Rodie's Sustainable Landscape Design class worked with students from Burke High School throughout the semester. The students split into two groups and each group was in charge of designing an plot of land at Burke High School. The Burke students created lists of plants to that are native to Nebraska or could be part of the prairie. The UNO students incorporated those plants, along with other objects like benches and mulch, and designed areas that could be used as teaching gardens. The designs were made into posters and the students presented the information to the other students. ",N/A,"Biology, Department of",Omaha Burke High School,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Chinese Beveridge Culture Fest: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,5,7,30,5,0,0,0,"UNO Chinese students from the Chinese Scholar program helped to teach lessons with the Beveridge Magnet Middle School students learning Mandarin. The goal for UNO students was to build mentoring skills with Chinese Language students while the goal for Beveridge was the reinforcement of their lessons from native Chinese speakers. The UNO students were responsible for providing a lesson or activity for project days in collaboration with Ms. Lam, the Beveridge teacher. The goal of this project was present at CultureFest.",N/A,Chinese Student Scholars Association,Beveridge Magnet Middle School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Chinese Beveridge Culture Fest: 2016-17 (002),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,10,8,30,1,0,0,0,"UNO Chinese students from the Chinese Scholar program help teach lessons with the Beveridge Magnet Middle School students learning Mandarin. Goal for UNO students is to build mentoring skills with Chinese Language students while goal for Beveridge is the reinforcement of their lessons from native Chinese speakers. The UNO students are responsible for providing a lesson or activity for project days in collaboration with Ms. Lam, the Beveridge teacher.",N/A,Chinese Student Scholars Association,Beveridge Magnet Middle School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Circle of Friends: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,20,4,17,1,0,0,0,UNO Social Neuroscience class met with Northwest High School's Circle of Friends afterschool club. The students in COF are on the autism spectrum. COF allows the opportunity for students to interact with other students to build social interaction skills. The UNO class interacted 4 times with the COF NWHS group and were able to apply their curriculum to the interactions they had with COF students. COF students also visited campus twice to have the opportunity to experience the college atmosphere. SLA provided food throughout the project. Food was coordinated with the COF SLP Ms. Froemming.,N/A,"Psychology, Department of",Omaha Northwest Magnet High School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Clean Energy Transportation Forum: 2017-18 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),N/A,2017-18,Fall 2017,Fall 2017,0,0,0,0,35,0,0,N/A,N/A,Center for Urban Sustainability,Nebraska Wildlife Federation,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (001),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),A Time to Heal (ATTH),Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (002),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Fall 2016,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Fontenelle Forest,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (003),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Girl Scouts Spirit of Nebraska,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (004),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Heartland Family Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (005),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Fall 2016,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Hope Center for Kids,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (006),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Spring 2017,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Nebraska Civic Engagement Table,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (008),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),ONE Omaha,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2016-17 (009),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Spring 2017,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),QLI,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (001),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,93,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Campus Compact for the Great Plains,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (002),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,96,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Civic Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (003),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Fall 2017,1,8,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Nebraska Urban Indian Health Coalition,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (004),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Spring 2018,Spring 2018,1,107,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),No More Empty Cups,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (005),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Spring 2018,Spring 2018,1,61,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (006),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,89,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Omaha Street School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (008),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Fall 2017,1,7,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Refugee Empowerment Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (009),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,112,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Refugee Empowerment Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (010),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Spring 2018,Spring 2018,1,153,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Refugee Empowerment Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (011),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,77,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Upward Bound,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Program Manager: 2017-18 (012),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,62,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Urban Bird and Nature Alliance,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2016-17 (001),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
